"ID";"Bedrijfskenmerken";"Perioden";"OpenstaandeVacatures_1";"OntstaneVacatures_2";"VervuldeVacatures_3"
"3923";"396400 ";"2010KW02";"     4.0";"       3";"       3"
"3924";"396400 ";"2010KW03";"     3.9";"       3";"       3"
"3925";"396400 ";"2010KW04";"     4.7";"       4";"       3"
"3926";"396400 ";"2010JJ00";"     4.0";"      13";"      12"
"3927";"396400 ";"2011KW01";"     5.5";"       3";"       3"
"3928";"396400 ";"2011KW02";"     5.7";"       4";"       3"
"3929";"396400 ";"2011KW03";"     5.6";"       3";"       3"
"3930";"396400 ";"2011KW04";"     5.3";"       3";"       3"
"3931";"396400 ";"2011JJ00";"     5.4";"      13";"      12"
"3932";"396400 ";"2012KW01";"     5.5";"       4";"       4"
"3933";"396400 ";"2012KW02";"     5.3";"       3";"       3"
"3934";"396400 ";"2012KW03";"     4.8";"       3";"       3"
"3935";"396400 ";"2012KW04";"     4.8";"       3";"       3"
"3936";"396400 ";"2012JJ00";"     5.2";"      12";"      12"
"3937";"396400 ";"2013KW01";"     5.0";"       3";"       3"
"3938";"396400 ";"2013KW02";"     5.5";"       3";"       3"
"3939";"396400 ";"2013KW03";"     5.4";"       3";"       3"
"3940";"396400 ";"2013KW04";"     3.8";"       3";"       4"
"3941";"396400 ";"2013JJ00";"     5.0";"      12";"      12"
"3942";"396400 ";"2014KW01";"     3.9";"       3";"       3"
"3943";"396400 ";"2014KW02";"     3.7";"       3";"       3"
"3944";"396400 ";"2014KW03";"     3.8";"       3";"       3"
"3945";"396400 ";"2014KW04";"     3.6";"       4";"       4"
"3946";"396400 ";"2014JJ00";"     3.8";"      13";"      13"
"3947";"396400 ";"2015KW01";"     4.0";"       4";"       4"
"3948";"396400 ";"2015KW02";"     4.3";"       3";"       3"
"3949";"396400 ";"2015KW03";"     4.1";"       2";"       3"
"3950";"396400 ";"2015KW04";"     4.4";"       4";"       4"
"3951";"396400 ";"2015JJ00";"     4.1";"      14";"      13"
"3952";"396400 ";"2016KW01";"     4.1";"       3";"       4"
"3953";"396400 ";"2016KW02";"     4.1";"       3";"       3"
"3954";"396400 ";"2016KW03";"     3.8";"       4";"       4"
"3955";"396400 ";"2016KW04";"     3.6";"       3";"       3"
"3956";"396400 ";"2016JJ00";"     4.0";"      13";"      14"
"3957";"396400 ";"2017KW01";"     4.6";"       5";"       4"
"3958";"396400 ";"2017KW02";"     6.0";"       5";"       4"
"3959";"396400 ";"2017KW03";"     5.9";"       5";"       6"
"3960";"396400 ";"2017KW04";"     6.3";"       5";"       5"
"3961";"396400 ";"2017JJ00";"     5.4";"      21";"      18"
"3962";"396400 ";"2018KW01";"     5.8";"       4";"       4"
"3963";"396400 ";"2018KW02";"     5.8";"       5";"       5"
"3964";"396400 ";"2018KW03";"     6.0";"       4";"       4"
"3965";"396400 ";"2018KW04";"     6.5";"       6";"       6"
"3966";"396400 ";"2018JJ00";"     6.0";"      19";"      19"
"3967";"396400 ";"2019KW01";"     6.2";"       5";"       5"
"3968";"396400 ";"2019KW02";"     5.3";"       3";"       4"
"3969";"396400 ";"2019KW03";"     5.3";"       5";"       5"
"3970";"396400 ";"2019KW04";"     5.4";"       5";"       5"
"3971";"396400 ";"2019JJ00";"     5.7";"      18";"      19"
"3972";"396400 ";"2020KW01";"     4.0";"       3";"       5"
"3973";"396400 ";"2020KW02";"     4.8";"       5";"       4"
"3974";"396400 ";"2020KW03";"     4.4";"       5";"       5"
"3975";"396400 ";"2020KW04";"     4.4";"       4";"       4"
"3976";"396400 ";"2020JJ00";"     4.5";"      18";"      19"
"3977";"396400 ";"2021KW01";"     4.5";"       5";"       5"
"3978";"396400 ";"2021KW02";"     4.5";"       4";"       4"
"3979";"396400 ";"2021KW03";"     5.4";"       4";"       3"
"3980";"396400 ";"2021KW04";"     5.3";"       4";"       4"
"3981";"396400 ";"2021JJ00";"     4.8";"      18";"      17"
"3982";"396400 ";"2022KW01";"     6.3";"       6";"       5"
"3983";"396400 ";"2022KW02";"     7.0";"       6";"       5"
"3984";"396400 ";"2022KW03";"     6.6";"       5";"       5"
"3985";"396400 ";"2022KW04";"     6.3";"       6";"       6"
"3986";"396400 ";"2022JJ00";"     6.4";"      23";"      22"
"3987";"396400 ";"2023KW01";"     5.5";"       4";"       5"
"3988";"396400 ";"2023KW02";"     6.2";"       6";"       5"
"3989";"396400 ";"2023KW03";"     5.8";"       6";"       6"
"3990";"398700 ";"1997KW01";"     1.2";"       1";"       1"
"3991";"398700 ";"1997KW02";"     1.5";"       1";"       1"
"3992";"398700 ";"1997KW03";"     1.2";"       1";"       1"
"3993";"398700 ";"1997KW04";"     1.2";"       1";"       1"
"3994";"398700 ";"1997JJ00";"       .";"       4";"       4"
"3995";"398700 ";"1998KW01";"     1.4";"       1";"       1"
"3996";"398700 ";"1998KW02";"     1.9";"       2";"       1"
"3997";"398700 ";"1998KW03";"     1.3";"       1";"       1"
"3998";"398700 ";"1998KW04";"     1.4";"       1";"       1"
"3999";"398700 ";"1998JJ00";"     1.5";"       5";"       5"
"4000";"398700 ";"1999KW01";"     1.5";"       1";"       1"
"4001";"398700 ";"1999KW02";"     2.6";"       2";"       1"
"4002";"398700 ";"1999KW03";"     2.2";"       1";"       2"
"4003";"398700 ";"1999KW04";"     1.3";"       0";"       1"
"4004";"398700 ";"1999JJ00";"     1.9";"       5";"       5"
"4005";"398700 ";"2000KW01";"     1.9";"       2";"       1"
"4006";"398700 ";"2000KW02";"     2.0";"       1";"       1"
"4007";"398700 ";"2000KW03";"     2.1";"       2";"       2"
"4008";"398700 ";"2000KW04";"     3.2";"       3";"       2"
"4009";"398700 ";"2000JJ00";"     2.1";"       8";"       6"
"4010";"398700 ";"2001KW01";"     2.6";"       2";"       2"
"4011";"398700 ";"2001KW02";"     2.1";"       2";"       2"
"4012";"398700 ";"2001KW03";"     1.8";"       1";"       2"
"4013";"398700 ";"2001KW04";"     2.7";"       2";"       1"
"4014";"398700 ";"2001JJ00";"     2.4";"       7";"       7"
"4015";"398700 ";"2002KW01";"     1.8";"       1";"       2"
"4016";"398700 ";"2002KW02";"     1.2";"       1";"       2"
"4017";"398700 ";"2002KW03";"     1.1";"       1";"       1"
"4018";"398700 ";"2002KW04";"     1.0";"       1";"       1"
"4019";"398700 ";"2002JJ00";"     1.5";"       4";"       6"
"4020";"398700 ";"2003KW01";"     1.2";"       1";"       0"
"4021";"398700 ";"2003KW02";"     0.9";"       0";"       1"
"4022";"398700 ";"2003KW03";"     0.9";"       1";"       1"
"4023";"398700 ";"2003KW04";"     1.0";"       1";"       1"
"4024";"398700 ";"2003JJ00";"     1.0";"       3";"       3"
"4025";"398700 ";"2004KW01";"     1.7";"       2";"       1"
"4026";"398700 ";"2004KW02";"     1.1";"       0";"       1"
"4027";"398700 ";"2004KW03";"     0.9";"       1";"       1"
"4028";"398700 ";"2004KW04";"     1.2";"       1";"       1"
"4029";"398700 ";"2004JJ00";"     1.2";"       4";"       3"
"4030";"398700 ";"2005KW01";"     0.7";"       1";"       1"
"4031";"398700 ";"2005KW02";"     1.2";"       1";"       1"
"4032";"398700 ";"2005KW03";"     0.9";"       0";"       1"
"4033";"398700 ";"2005KW04";"     1.3";"       1";"       1"
